Anoop V wrote a review May 2018,50,Kochi (Cochin) - New Delhi,Domestic,"Kochi (Cochin) - New Delhi
Domestic
Economy",Amazing airline,Aircraft was well maintained and leg space was best in class. Food was above average. Crew was very helpful.
Milind_Pande_Pune wrote a review May 2018,50,Pune - New Delhi,Domestic,"Pune - New Delhi
Domestic
Economy",Best experience with this new star in Indian Aviation,"Best airline in full service category. Food is good and fresh, staff is very polite and helpful. These people deserve 10 stars. Far more better than Jet Airways, little costlier than others but worth of every penny spent."
kddate wrote a review May 2018,50,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy",Great Flight + Service,"Right from on line booking to in flight service, everything was marvelous. Clean aircraft, timely arrivals, good food completes review."
Geetanjali Dhar wrote a review May 2018,50,New Delhi - Bengaluru,Domestic,"New Delhi - Bengaluru
Domestic
Economy",I enjoy my every flight with Vistara,"The best thing about Vistara is the leg space and you enjoy a comfortable flight. After their experiment with food during the initial days of operation, the food served these days is simple and tasty. The cabin is neat and clean and the crew do their duty well. The price factor is also at par with other no-frills airlines flying on the same sectors. So makes sense to opt for Vistara for sure."
I love my India wrote a review May 2018,40,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Business Class",Good flight and good service,It was morning flight on Sunday flight was on time service was good food was good seats are new as aircraft's are new all over it's good experience in this aircraft there are onky 8 seats in business class
I love my India wrote a review May 2018,30,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Premium Economy",Bad sitting,I got seat in first row of premium economy but seat was very uncomfortable and tight even worst the normal economy class capt use name of indigo in announcement I think he was working for indigo before but he is in vistara over all it's was bad experience
SHIBAN K RAINA wrote a review May 2018,50,Lucknow - New Delhi,Domestic,"Lucknow - New Delhi
Domestic
Economy",IT IS A REAL PLEASURE TO TRAVEL BY VISTARA,"It was again a great experience to travel by Vistara. The flight was managed very smoothly despite the turbluent weather en route. The crew managed to be calm and did not let any passenger feel the discomfort. Delicious Snacks, nicely packed were served and staff was always serving with a smile. Keep it up"
Swarup Kumar wrote a review May 2018,30,Ahmedabad - Bengaluru,Domestic,"Ahmedabad - Bengaluru
Domestic
Economy",No value for money,"This was my first trip in Vistara airlines (UK924) and was not convinced about their services. Their airhostess very rude( definitely not trained by Singapore Airlines staff). Am a regular traveller via Singapore Airlines and their staff are one of the best. Seat and leg space are quite OK. Food was a big disappointment, just like Jet Airways either option A or B.it was a morning flight around 10 and reaching Bangalore by 12:20 and they were offering a heavy sandwich. Wrote to the airlines via Twitter, his reaction was ""we don't charge extra for food"" and the options are arrived after some data analysis. Definitely not worth of money while traveling by Economy class in Vistara (maybe they want us to travel by Premium economy /business)."
SandeepSingh1979 wrote a review May 2018,40,Varanasi - New Delhi,Domestic,"Varanasi - New Delhi
Domestic
Economy",Best Airlines But needs small improvements,"Once again i was on Vistara flight UK 955 on 10th May to New Delhi. Everything was good as always. The flight was bit delayed but thats ok as sometimes it does due to the air traffic.
This time i would like to say the management to improve on the meal or the snacks served during the flight. I had the Non veg puff and it was damn Soggy. it seems like it was lying with them for hours and they heated up and served us.This is not the standard of Vistara as i know. Also most of the passengers were asking for the spoon and it was not available with the inflight attendants.
Would like to mention the name of Ms. claire (hope i got the name right)was kind enough to listen to me as she asked whats wrong when i asked for the feedback form. she was kind enough to get me the business class meal,but as i was not feeling like i did not had. also to let you know that there was a old lady sitting besides me and she was alone. the hostess Claire went again and again and kept her asking if she needs anything as the old lady didn't even had a bottle of water during the flight. this is what the hospitality is and i appreciate her gesture.
Do improve on the meal part and rest you are always the best. Again coming to your flight on 24th May to Varanasi. See you soon :)"
Manish wrote a review May 2018,40,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Economy",Vistara,"Service and comfort level is satisfactory
With variety of food available options available with them.
On time journey makes Vistara agreat choice to flight...
Took Delhi to Goa flight the staff if cooperative and we'll mannered .."
yogeshsabharwal wrote a review May 2018,40,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy",Good flight expereince,The experience of journey in this flight was very good-- wherein the staff was very co-operative and soft spoken.
IMSusmita wrote a review May 2018,20,New Delhi - Kolkata,Domestic,"New Delhi - Kolkata
Domestic
Economy",A bad first time experience in Vistara,"This was my first travel in Vistara from Delhi to Kolkata. At the end of the whole day and after whole day work when you go back home with the late evening flight and expecting a good flight means it will include good meal too.

First of all flight was horribly delayed and then food quality was extremely bad.
Non-veg food was like half cooked. Slightly under-cooked chicken.

This was not at all expected.
I will probably never fly in Vistara anymore."
